69,The Annunciation,Leonardo da Vinci (attributed),1472–1475,"Early Renaissance painting (disputed attribution between young Leonardo and Verrocchio’s workshop) depicting the angel Gabriel’s announcement to Mary. Noted for its serene landscape, graceful figures, and early use of atmospheric perspective by Leonardo. It’s valued as an important example of 15th-century innovation and Leonardo’s emerging genius in composition and sfumato, making it a highlight of Florence’s Uffizi collection.",(Unified List Additional: Commonly included in Leonardo biographies and Uffizi top works)
70,The Persistence of Memory,Salvador Dalí,1931,(Note: Already listed as rank 16),
70,Soft Construction with Boiled Beans,Salvador Dalí,1936,"Surrealist premonition of the Spanish Civil War, showing a monstrous contorted figure tearing itself apart, scattered with beans across a desolate landscape. Dalí painted it six months before the war began, claiming prophetic insight. It’s acclaimed for its grotesque power and symbolic commentary on self-destruction and conflict, underscoring Surrealism’s political edge and Dalí’s imagination.",Scaruffi
71,Melancholy and Mystery of a Street,Giorgio de Chirico,1914,"Metaphysical painting depicting a silent piazza with lengthening shadows, a distant girl with a hoop, and an ominous dark figure near an arcade. It’s celebrated for capturing a dreamlike, eerie atmosphere that greatly influenced Surrealists. De Chirico’s work evokes feelings of nostalgia and unease, using Renaissance perspective in unsettling ways, marking it as a key precursor to later 20th-century art’s exploration of the subconscious.","(Unified List Additional: Often highlighted in modern art surveys, e.g., MoMA’s de Chirico holdings)"
72,The Gross Clinic,Thomas Eakins,1875,"Gritty Realist portrayal of Dr. Samuel Gross performing surgery, surrounded by assistants and an anesthetized patient’s mother recoiling. Lauded for its uncompromising detail and dramatic lighting, it’s seen as one of the greatest American paintings, capturing 19th-century medical advancement and the heroism of surgeons. Initially controversial for its graphic content, it now exemplifies Eakins’ dedication to truth and has become a point of civic pride in Philadelphia.","Time Out (NYC jury picks), Academic sources (art history texts)"
73,Abstract Speed + Sound,Giacomo Balla,1913–1914,"Futurist painting conveying motion and velocity with fragmented, repeating forms (based on a speeding car’s path). As an embodiment of Futurism’s worship of speed and modern technology, it’s hailed for turning movement itself into subject matter. Balla’s dynamic abstraction influenced later kinetic art and visual depictions of motion, making it a notable early 20th-century experiment in breaking static art’s constraints.",Mullins (BBC)
74,Starry Night,Vincent van Gogh,1889,(Note: Already listed as rank 3),
74,La Primavera,Sandro Botticelli,c. 1480,(Duplicate entry of “Primavera” at rank 58),
74,Christina’s World,Andrew Wyeth,1948,"Iconic 20th-century American painting of a woman lying in a field gazing at a distant farmhouse, inspired by Wyeth’s disabled neighbor Christina Olson. Its muted palette and precise detail evoke both realism and mystery, capturing rural American ethos and loneliness. Hugely popular, it became an enduring image of resilience and longing, solidifying Wyeth’s place in American art.",(Unified List Additional: Museum of Modern Art popular favorite; widely reproduced)
75,The Madonna of the Rocks (Louvre version),Leonardo da Vinci,1483–1486,"Innovative High Renaissance altarpiece of the Virgin Mary, Christ Child, infant John the Baptist, and an angel in a rocky grotto landscape. Notable for its unified composition (pyramidal form), mysterious setting, and Leonardo’s pioneering use of chiaroscuro and sfumato to model faces softly. It introduced a new level of emotional intimacy and realism in devotional art, influencing countless later works and cementing Leonardo’s reputation as a master of atmospheric effect.",(Unified List Additional: A centerpiece of the Louvre’s Leonardo collection; widely studied in art history)
76,Death and Life,Gustav Klimt,1910–1915,"Symbolist canvas contrasting a joyful, colorful group of intertwined figures representing Life with a dark, patterned skeleton figure of Death observing them. Klimt’s late work (with bold decorative motifs and a shift from gold to bright color) grapples with the cycle of human existence. It won first prize in 1911 at the International Art Exhibition in Rome and remains one of Klimt’s most poignant allegories, balancing beauty and mortality.",(Unified List Additional: Exhibited globally; important in Klimt retrospectives)
77,Arnolfini Portrait,Jan van Eyck,1434,(Note: Already listed as rank 12),
77,The Garden of Earthly Delights,Hieronymus Bosch,c. 1500,(Note: Already listed as rank 14),
77,The Massacre at Chios,Eugène Delacroix,1824,"Large Romantic painting showing Greek civilians suffering after an Ottoman massacre, marked by graphic depictions of despair and ruin. Though lacking a heroic focal point (critics were divided), Delacroix’s vivid color and emotional intensity signaled a new direction for history painting, one that emphasized human suffering over heroism. It contributed to Delacroix’s reputation and demonstrated art’s power to galvanize public opinion (supporting the Greek independence cause).",(Unified List Additional: Louvre collection; studied in context of Romanticism and Orientalism)
78,The Swing,Jean-Honoré Fragonard,1767,(Note: Already listed as rank 45),
78,Portrait of Dora Maar (Dora Maar au Chat),Pablo Picasso,1941,"Vividly colored Cubist portrait of Picasso’s lover Dora Maar seated with a small cat perched on her chair. Notable for its psychological intensity (Dora’s eyes and hands express tension) and the stylized distortion characteristic of Picasso’s wartime portraits. It underscores Picasso’s ability to merge personal emotion with formal experimentation, and its record auction prices reflect its status as one of Picasso’s great portraits.","(Unified List Additional: Famous from auctions, exhibitions on Picasso’s muses)"
